Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
854;21100265609;"Digital Applications in Archaeology and Cultural Heritage";journal;"22120548";"Elsevier B.V.";No;No;0,611;Q2;34;79;146;3592;550;144;3,78;45,47;40,61;0;United Kingdom;Western Europe;"Elsevier B.V.";"2014-2026";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); Computer Science Applications (Q2)";"Arts and Humanities; Computer Science; Social Sciences"
855;21101264321;"Frontiers in Signal Processing";journal;"26738198";"Frontiers Media SA";Yes;No;0,610;Q2;16;24;131;1109;465;122;2,87;46,21;27,42;0;Switzerland;Western Europe;"Frontiers Media SA";"2021-2026";"Signal Processing (Q2)";"Computer Science"
856;21101081712;"IEEE Open Journal of Signal Processing";journal;"26441322";"Institute of Electrical and Electronics Engineers Inc.";Yes;No;0,609;Q2;22;99;170;4808;573;169;3,27;48,57;17,49;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020-2026";"Signal Processing (Q2)";"Computer Science"
857;29053;"Molecular Diversity";journal;"1573501X, 13811991";"Springer Nature";No;No;0,609;Q2;71;497;640;32026;2943;637;4,62;64,44;39,91;1;Switzerland;Western Europe;"Springer Nature";"1995-1998, 2000, 2003-2026";"Catalysis (Q2); Drug Discovery (Q2); Information Systems (Q2); Inorganic Chemistry (Q2); Medicine (miscellaneous) (Q2); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Computer Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
858;24595;"Chemometrics and Intelligent Laboratory Systems";journal;"01697439, 18733239";"Elsevier B.V.";No;No;0,608;Q2;157;196;515;9064;2315;515;4,14;46,24;32,12;0;Netherlands;Western Europe;"Elsevier B.V.";"1986-2026";"Analytical Chemistry (Q2); Computer Science Applications (Q2); Process Chemistry and Technology (Q2); Software (Q2); Spectroscopy (Q2)";"Chemical Engineering; Chemistry; Computer Science"
859;13803;"Signal Processing: Image Communication";journal;"09235965";"Elsevier B.V.";No;No;0,607;Q2;109;128;324;6894;1213;323;3,41;53,86;30,60;0;Netherlands;Western Europe;"Elsevier B.V.";"1989-2026";"Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q2); Software (Q2)";"Computer Science; Engineering"
860;21101194104;"Automation";journal;"26734052";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,606;Q2;17;93;89;4819;381;89;4,14;51,82;18,08;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2020-2025";"Computer Science (miscellaneous) (Q2); Control and Systems Engineering (Q2); Engineering (miscellaneous) (Q2)";"Computer Science; Engineering"
861;21100945706;"Multimodal Technologies and Interaction";journal;"24144088";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,605;Q2;46;118;342;7142;1480;340;4,48;60,53;35,16;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2017-2026";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Human-Computer Interaction (Q3); Neuroscience (miscellaneous) (Q3)";"Computer Science; Neuroscience"
862;19700201037;"CoDesign";journal;"15710882, 17453755";"Taylor and Francis Ltd.";No;No;0,602;Q2;44;103;92;5371;371;90;3,59;52,15;63,88;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2026";"Architecture (Q1); Visual Arts and Performing Arts (Q1); Computer Graphics and Computer-Aided Design (Q2)";"Arts and Humanities; Computer Science; Engineering"
863;35932;"International Journal of Imaging Systems and Technology";journal;"10981098, 08999457";"John Wiley and Sons Inc";No;No;0,601;Q2;67;260;573;11235;2142;566;3,86;43,21;34,00;0;United States;Northern America;"John Wiley and Sons Inc";"1989-1992, 1994-2000, 2002-2026";"Biomedical Engineering (Q2); Computer Science Applications (Q2); Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Radiology, Nuclear Medicine and Imaging (Q2); Software (Q2); Health Informatics (Q3)";"Computer Science; Engineering; Materials Science; Medicine"
864;30286;"Journal of King Saud University - Engineering Sciences";journal;"10183639";"Springer International Publishing";Yes;Yes;0,601;Q2;65;73;221;3350;998;215;4,51;45,89;23,91;0;Switzerland;Western Europe;"Springer International Publishing";"1989-2026";"Civil and Structural Engineering (Q2); Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Environmental Engineering (Q2); Fluid Flow and Transfer Processes (Q2); Fuel Technology (Q2); Industrial and Manufacturing Engineering (Q2); Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2); Renewable Energy, Sustainability and the Environment (Q2); Catalysis (Q3)";"Chemical Engineering; Computer Science; Energy; Engineering; Environmental Science; Materials Science"
865;15583;"New Generation Computing";journal;"02883635, 18827055";"Springer Japan";No;No;0,600;Q2;38;19;138;860;439;128;2,95;45,26;31,71;0;Japan;Asiatic Region;"Springer Japan";"1983-2026";"Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
866;23671;"Speech Communication";journal;"01676393";"Elsevier B.V.";No;No;0,600;Q2;123;108;241;7341;1048;239;3,90;67,97;40,21;0;Netherlands;Western Europe;"Elsevier B.V.";"1982-2026";"Communication (Q1); Linguistics and Language (Q1); Computer Science Applications (Q2); Computer Vision and Pattern Recognition (Q2); Modeling and Simulation (Q2); Software (Q2)";"Computer Science; Mathematics; Social Sciences"
867;21101078232;"Journal of Computational Social Science";journal;"24322717, 24322725";"Springer Nature";No;No;0,599;Q2;28;103;209;6529;761;209;3,32;63,39;33,66;4;Singapore;Asiatic Region;"Springer Nature";"2018-2026";"Artificial Intelligence (Q2); Transportation (Q2)";"Computer Science; Social Sciences"
868;15435;"Journal of Consciousness Studies";journal;"20512201, 13558250";"Imprint Academic";No;No;0,599;Q2;81;64;206;2524;311;183;1,08;39,44;24,62;0;United Kingdom;Western Europe;"Imprint Academic";"1996-2026";"Philosophy (Q1); Artificial Intelligence (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Psychology (miscellaneous) (Q2)";"Agricultural and Biological Sciences; Arts and Humanities; Computer Science; Psychology"
869;21100824034;"Virtual Archaeology Review";journal;"19899947";"Universidad Politecnica de Valencia";Yes;No;0,599;Q2;22;23;56;1051;153;56;2,19;45,70;29,23;0;Spain;Western Europe;"Universidad Politecnica de Valencia";"2017-2026";"Archeology (Q1); Archeology (arts and humanities) (Q1); Conservation (Q1); Computer Science Applications (Q2)";"Arts and Humanities; Computer Science; Social Sciences"
870;26146;"Visual Computer";journal;"14322315, 01782789";"Springer Science and Business Media Deutschland GmbH";No;No;0,599;Q2;85;790;1294;42563;5329;1282;4,12;53,88;32,72;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1985-2026";"Computer Graphics and Computer-Aided Design (Q2); Computer Vision and Pattern Recognition (Q2); Software (Q2)";"Computer Science"
871;21100241218;"Astronomy and Computing";journal;"22131337";"Elsevier B.V.";No;No;0,598;Q2;41;73;238;4386;626;237;2,88;60,08;25,45;0;Netherlands;Western Europe;"Elsevier B.V.";"2013-2026";"Astronomy and Astrophysics (Q2); Computer Science Applications (Q2); Space and Planetary Science (Q2)";"Computer Science; Earth and Planetary Sciences; Physics and Astronomy"
872;21101092530;"IET Quantum Communication";journal;"26328925";"John Wiley and Sons Inc";Yes;No;0,597;Q2;18;30;90;1469;360;86;4,49;48,97;29,11;0;United States;Northern America;"John Wiley and Sons Inc";"2020-2026";"Computational Theory and Mathematics (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Theoretical Computer Science (Q2)";"Computer Science; Engineering; Mathematics"
873;12100154406;"ACM Transactions on Architecture and Code Optimization";journal;"15443973, 15443566";"Association for Computing Machinery";No;No;0,595;Q2;50;168;214;9274;660;214;3,36;55,20;25,60;0;United States;Northern America;"Association for Computing Machinery";"2004-2025";"Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2)";"Computer Science"
874;21101039441;"Cryptography";journal;"2410387X";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,595;Q2;29;80;183;3576;717;182;4,03;44,70;27,34;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2017-2025";"Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Software (Q2)";"Computer Science; Mathematics"
875;5800213394;"Information and Communications Technology Law";journal;"13600834, 14698404";"Routledge";No;No;0,594;Q2;28;30;55;1554;209;53;3,59;51,80;40,91;2;United Kingdom;Western Europe;"Routledge";"1992-2001, 2003-2026";"Law (Q1); Communication (Q2); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
876;4900153220;"International Journal on Semantic Web and Information Systems";journal;"15526283, 15526291";"IGI Global";No;No;0,594;Q2;44;49;173;1894;665;173;3,47;38,65;33,11;0;United States;Northern America;"IGI Global";"2005-2026";"Computer Networks and Communications (Q2); Information Systems (Q2)";"Computer Science"
877;4900152803;"Journal of Systems Science and Complexity";journal;"10096124, 15597067";"Springer Science and Business Media, LLC";No;No;0,594;Q2;46;160;398;5774;1093;395;2,47;36,09;32,05;0;United States;Northern America;"Springer Science and Business Media, LLC";"2006-2026";"Computer Science (miscellaneous) (Q2); Information Systems (Q2)";"Computer Science"
878;19900192900;"Molecular Informatics";journal;"18681751, 18681743";"John Wiley and Sons Inc";No;No;0,594;Q2;81;47;162;2214;583;161;3,22;47,11;27,17;0;Germany;Western Europe;"John Wiley and Sons Inc";"2010-2026";"Computer Science Applications (Q2); Drug Discovery (Q2); Organic Chemistry (Q2); Molecular Medicine (Q3); Structural Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Pharmacology, Toxicology and Pharmaceutics"
879;21100838145;"Machines";journal;"20751702";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,591;Q2;55;1152;3271;50534;11889;3241;3,74;43,87;24,50;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2013-2026";"Computer Science (miscellaneous) (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q2)";"Computer Science; Engineering; Mathematics"
880;21101152520;"Robotic Intelligence and Automation";journal;"27546977, 27546969";"Emerald Publishing";No;No;0,590;Q2;56;65;189;2498;588;188;3,76;38,43;27,84;0;United Kingdom;Western Europe;"Emerald Publishing";"2023-2026";"Artificial Intelligence (Q2); Computer Science Applications (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Human-Computer Interaction (Q3)";"Computer Science; Engineering"
881;21100238613;"Digital Education Review";journal;"20139144";"Universitat de Barcelona";Yes;Yes;0,588;Q2;29;30;78;1364;247;76;3,61;45,47;45,07;0;Spain;Western Europe;"Universitat de Barcelona";"2010-2025";"Computer Science Applications (Q2); Education (Q2)";"Computer Science; Social Sciences"
882;26104;"Proceedings - International Conference on Distributed Computing Systems";conference and proceedings;"25758411, 10636927";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,588;-;109;106;437;4044;927;429;1,73;38,15;27,13;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982, 1984, 1986-2025";"Computer Networks and Communications; Hardware and Architecture; Software";"Computer Science"
883;21100332423;"APSIPA Transactions on Signal and Information Processing";journal;"20487703";"Now Publishers Inc";Yes;No;0,587;Q2;32;54;149;2749;510;138;2,27;50,91;22,67;0;United States;Northern America;"Now Publishers Inc";"2012-2025";"Information Systems (Q2); Signal Processing (Q2)";"Computer Science"
884;18202;"Eurasip Journal on Wireless Communications and Networking";journal;"16871499, 16871472";"SpringerOpen";Yes;No;0,587;Q2;82;103;284;3723;973;280;3,65;36,15;29,52;0;United Kingdom;Western Europe;"SpringerOpen";"2004-2026";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Signal Processing (Q2)";"Computer Science"
885;21101063730;"IET Smart Cities";journal;"26317680";"John Wiley and Sons Inc";Yes;No;0,586;Q2;24;21;73;1163;320;68;4,40;55,38;27,78;0;United Kingdom;Western Europe;"John Wiley and Sons Inc";"2019-2026";"Urban Studies (Q1); Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Software (Q2)";"Computer Science; Engineering; Social Sciences"
886;21100799933;"SLAS Technology";journal;"24726311, 24726303";"Elsevier B.V.";Yes;No;0,586;Q2;41;128;217;4258;807;197;3,93;33,27;39,55;0;Netherlands;Western Europe;"Elsevier B.V.";"2016-2026";"Computer Science Applications (Q2); Medical Laboratory Technology (Q2)";"Computer Science; Health Professions"
887;28501;"Journal of Mathematical Imaging and Vision";journal;"09249907, 15737683";"Springer Netherlands";No;No;0,583;Q2;86;62;159;2864;373;155;2,32;46,19;22,16;0;Netherlands;Western Europe;"Springer Netherlands";"1992-2026";"Applied Mathematics (Q2); Computer Vision and Pattern Recognition (Q2); Condensed Matter Physics (Q2); Geometry and Topology (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Computer Science; Mathematics; Physics and Astronomy"
888;19400158708;"Entertainment Computing";journal;"18759521";"Elsevier B.V.";No;No;0,582;Q2;47;304;276;14218;1150;273;3,74;46,77;35,84;1;Netherlands;Western Europe;"Elsevier B.V.";"2009-2026";"Computer Science Applications (Q2); Software (Q2); Human-Computer Interaction (Q3)";"Computer Science"
889;21100409130;"Frontiers of Information Technology and Electronic Engineering";journal;"20959230, 20959184";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,582;Q2;58;171;389;7887;1298;352;3,81;46,12;34,17;0;China;Asiatic Region;"Institute of Electrical and Electronics Engineers Inc.";"2015-2025";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Signal Processing (Q2)";"Computer Science; Engineering"
890;19124;"Queueing Systems";journal;"15729443, 02570130";"Springer Netherlands";No;No;0,581;Q2;61;30;208;830;160;97;1,05;27,67;33,33;0;Netherlands;Western Europe;"Springer Netherlands";"1986-2026";"Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Management Science and Operations Research (Q2); Statistics and Probability (Q2)";"Computer Science; Decision Sciences; Mathematics"
891;21101256230;"Digital Finance";journal;"25246984, 25246186";"Springer International Publishing";No;No;0,580;Q2;15;41;69;2179;194;66;2,61;53,15;32,32;0;Switzerland;Western Europe;"Springer International Publishing";"2019-2026";"Computer Science Applications (Q2); Finance (Q2)";"Computer Science; Economics, Econometrics and Finance"
892;28424;"Theory and Practice of Logic Programming";journal;"14753081, 14710684";"Cambridge University Press";No;No;0,578;Q2;54;42;130;1437;262;122;1,91;34,21;20,63;0;United Kingdom;Western Europe;"Cambridge University Press";"2001-2026";"Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Hardware and Architecture (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
893;21101271431;"International Journal of Smart Grid";journal;"2602439X";"";No;No;0,577;Q2;16;14;67;589;194;67;2,74;42,07;11,90;0;Turkey;Middle East;"";"2021-2025";"Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Energy (miscellaneous) (Q2); Information Systems and Management (Q2)";"Computer Science; Decision Sciences; Energy; Engineering"
894;21100826927;"Human Technology";journal;"17956889";"Centre of Sociological Research";Yes;Yes;0,577;Q3;23;31;77;1941;349;73;4,78;62,61;46,53;0;Finland;Western Europe;"Centre of Sociological Research";"2016-2025";"Communication (Q2); Social Psychology (Q2); Human-Computer Interaction (Q3)";"Computer Science; Psychology; Social Sciences"
895;18800156711;"Advances in Mathematics of Communications";journal;"19305346, 19305338";"American Institute of Mathematical Sciences";No;No;0,576;Q2;31;97;254;2675;275;252;1,08;27,58;31,70;0;United States;Northern America;"American Institute of Mathematical Sciences";"2007-2026";"Algebra and Number Theory (Q2); Applied Mathematics (Q2); Computer Networks and Communications (Q2); Discrete Mathematics and Combinatorics (Q2)";"Computer Science; Mathematics"
896;17960;"International Journal of Adaptive Control and Signal Processing";journal;"08906327, 10991115";"John Wiley and Sons Ltd";No;No;0,576;Q2;87;190;531;8287;1976;529;4,32;43,62;29,93;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1987-2026";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q2)";"Computer Science; Engineering"
897;18534;"International Journal for Numerical Methods in Fluids";journal;"10970363, 02712091";"John Wiley and Sons Ltd";No;No;0,575;Q2;135;89;247;3750;552;246;2,43;42,13;16,79;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1981-2026";"Applied Mathematics (Q2); Computational Mechanics (Q2); Computer Science Applications (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2)";"Computer Science; Engineering; Mathematics"
898;21100784666;"ACM Transactions on Asian and Low-Resource Language Information Processing";journal;"23754699, 23754702";"Association for Computing Machinery";No;No;0,574;Q2;38;143;539;7211;1879;535;3,62;50,43;33,81;1;United States;Northern America;"Association for Computing Machinery";"2015-2026";"Computer Science (miscellaneous) (Q2)";"Computer Science"
899;5800173381;"International Journal of Distributed Sensor Networks";journal;"15501329, 15501477";"John Wiley and Sons Ltd";Yes;No;0,574;Q2;77;33;149;1323;640;149;3,12;40,09;32,35;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2005-2026";"Computer Networks and Communications (Q2); Engineering (miscellaneous) (Q2)";"Computer Science; Engineering"
900;21101028596;"Internet Pragmatics";journal;"25423851, 2542386X";"John Benjamins Publishing Company";No;No;0,574;Q2;14;17;35;840;70;33;1,87;49,41;86,36;0;Netherlands;Western Europe;"John Benjamins Publishing Company";"2019-2025";"Linguistics and Language (Q1); Computer Networks and Communications (Q2)";"Computer Science; Social Sciences"
901;145663;"Language Resources and Evaluation";journal;"1574020X, 15740218";"Springer Science and Business Media B.V.";No;No;0,574;Q2;70;159;157;8466;596;154;3,31;53,25;37,89;1;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1996-2002, 2005-2026";"Library and Information Sciences (Q1); Linguistics and Language (Q1); Computer Science Applications (Q2); Education (Q2)";"Computer Science; Social Sciences"
902;25592;"Journal of Visual Communication and Image Representation";journal;"10473203, 10959076";"Academic Press Inc.";No;No;0,573;Q2;107;227;721;12076;2646;721;3,77;53,20;32,15;0;United States;Northern America;"Academic Press Inc.";"1990-2026";"Media Technology (Q1); Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q2)";"Computer Science; Engineering"
903;130117;"Optimization and Engineering";journal;"13894420, 15732924";"Springer";No;No;0,573;Q2;52;148;262;6265;726;255;2,57;42,33;24,89;0;Netherlands;Western Europe;"Springer";"2000-2001, 2004-2026";"Aerospace Engineering (Q2); Civil and Structural Engineering (Q2); Control and Optimization (Q2); Electrical and Electronic Engineering (Q2); Mechanical Engineering (Q2); Software (Q2)";"Computer Science; Engineering; Mathematics"
904;15026;"Flow Measurement and Instrumentation";journal;"09555986";"Elsevier B.V.";No;No;0,572;Q2;77;251;505;8696;1742;503;3,56;34,65;26,08;0;United Kingdom;Western Europe;"Elsevier B.V.";"1989-2026";"Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Instrumentation (Q2); Modeling and Simulation (Q2)";"Computer Science; Engineering; Mathematics; Physics and Astronomy"
905;22202;"Operations Research Letters";journal;"01676377";"Elsevier B.V.";No;No;0,572;Q2;89;101;346;2130;412;343;1,23;21,09;22,07;0;Netherlands;Western Europe;"Elsevier B.V.";"1981-2026";"Applied Mathematics (Q2); Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q2); Software (Q2)";"Computer Science; Decision Sciences; Engineering; Mathematics"
906;21100199795;"Algorithms";journal;"19994893";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,570;Q2;67;803;1649;36730;5920;1614;3,70;45,74;27,61;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2008-2026";"Computational Mathematics (Q2); Computational Theory and Mathematics (Q2); Numerical Analysis (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
907;21100358314;"Human-centric Computing and Information Sciences";journal;"21921962";"Korea Information Processing Society";Yes;No;0,570;Q2;62;66;163;3221;534;163;2,68;48,80;29,80;0;South Korea;Asiatic Region;"Korea Information Processing Society";"2011-2025";"Computer Science (miscellaneous) (Q2)";"Computer Science"
908;21101188705;"Frontiers in Blockchain";journal;"26247852";"Frontiers Media SA";Yes;No;0,569;Q2;34;69;95;4062;444;90;4,86;58,87;41,56;0;Switzerland;Western Europe;"Frontiers Media SA";"2019-2026";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Computer Science (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2)";"Computer Science; Economics, Econometrics and Finance"
909;5400152646;"IET Image Processing";journal;"17519667, 17519659";"John Wiley &amp; Sons Inc.";Yes;No;0,569;Q2;74;297;959;14571;3281;959;3,21;49,06;33,16;0;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2007-2026";"Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q2); Software (Q2)";"Computer Science; Engineering"
910;12188;"Simulation and Gaming";journal;"1552826X, 10468781";"SAGE Publications Inc.";No;No;0,569;Q2;78;37;132;1553;375;114;2,56;41,97;53,10;0;United States;Northern America;"SAGE Publications Inc.";"1970-1976, 1978-1983, 1985, 1987-2026";"Social Sciences (miscellaneous) (Q1); Business, Management and Accounting (miscellaneous) (Q2); Computer Science Applications (Q2)";"Business, Management and Accounting; Computer Science; Social Sciences"
911;24593;"Calphad: Computer Coupling of Phase Diagrams and Thermochemistry";journal;"03645916";"Elsevier Ltd";No;No;0,567;Q2;82;93;300;6834;621;298;2,00;73,48;30,42;0;United Kingdom;Western Europe;"Elsevier Ltd";"1977-2026";"Chemical Engineering (miscellaneous) (Q2); Chemistry (miscellaneous) (Q2); Computer Science Applications (Q2)";"Chemical Engineering; Chemistry; Computer Science"
912;25461;"Informatica (Netherlands)";journal;"08684952";"SAGE Publications Ltd";Yes;No;0,567;Q2;52;0;108;0;479;108;4,68;0,00;0,00;0;Netherlands;Western Europe;"SAGE Publications Ltd";"1990-2024";"Applied Mathematics (Q2); Information Systems (Q2)";"Computer Science; Mathematics"
913;23087;"Algorithmica";journal;"14320541, 01784617";"Springer New York";No;No;0,566;Q2;87;62;398;2090;519;387;1,33;33,71;19,79;0;United States;Northern America;"Springer New York";"1986-2026";"Applied Mathematics (Q2); Computer Science Applications (Q2); Computer Science (miscellaneous) (Q2)";"Computer Science; Mathematics"
914;21100316001;"Journal of Biomedical Semantics";journal;"20411480";"BioMed Central Ltd";Yes;No;0,566;Q2;51;20;65;960;220;65;3,38;48,00;28,13;0;United Kingdom;Western Europe;"BioMed Central Ltd";"2010-2026";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Information Systems (Q2); Health Informatics (Q3)";"Computer Science; Medicine"
915;28511;"Mathematical and Computer Modelling of Dynamical Systems";journal;"17445051, 13873954";"Taylor and Francis Ltd.";Yes;No;0,566;Q2;42;30;65;1113;226;65;3,72;37,10;22,77;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2026";"Applied Mathematics (Q2); Computer Science Applications (Q2); Control and Systems Engineering (Q2); Modeling and Simulation (Q2); Software (Q2)";"Computer Science; Engineering; Mathematics"
916;21101304987;"Security and Safety";journal;"28261275, 20972121";"EDP Sciences";Yes;No;0,566;Q2;10;24;59;1263;193;52;3,16;52,63;29,07;0;France;Western Europe;"EDP Sciences";"2022-2026";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Control and Systems Engineering (Q2); Safety, Risk, Reliability and Quality (Q2)";"Computer Science; Engineering"
917;110567;"IEEE International Symposium on Information Theory - Proceedings";conference and proceedings;"21578095";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,566;-;109;500;1660;12516;1826;1657;1,11;25,03;22,31;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1972, 1991, 1994-1995, 1997-2025";"Applied Mathematics; Information Systems; Modeling and Simulation; Theoretical Computer Science";"Computer Science; Mathematics"
918;21100199538;"International Symposium on Empirical Software Engineering and Measurement";conference and proceedings;"19493770, 19493789";"IEEE Computer Society";No;No;0,566;-;51;60;140;2392;384;134;2,64;39,87;31,46;0;United States;Northern America;"IEEE Computer Society";"2011-2024";"Computer Science Applications; Software";"Computer Science"
919;21101141431;"Journal for the Measurement of Physical Behaviour";journal;"25756605, 25756613";"Human Kinetics Publishers Inc.";No;No;0,565;Q2;19;25;103;974;176;97;1,21;38,96;37,82;0;United States;Northern America;"Human Kinetics Publishers Inc.";"2019-2026";"Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Psychology (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2); Statistics, Probability and Uncertainty (Q2)";"Computer Science; Decision Sciences; Engineering; Medicine; Psychology"
920;21100801727;"Digital Library Perspectives";journal;"20595816, 20595824";"Emerald Publishing";No;No;0,564;Q2;30;50;122;2460;322;104;2,69;49,20;37,21;0;United Kingdom;Western Europe;"Emerald Publishing";"2016-2026";"Library and Information Sciences (Q1); Education (Q2); Information Systems (Q2)";"Computer Science; Social Sciences"
921;21100442189;"JALT CALL Journal";journal;"18324215";"Castledown Publishers";No;No;0,564;Q2;20;23;53;1295;140;53;2,58;56,30;38,46;0;Australia;Pacific Region;"Castledown Publishers";"2010, 2015-2025";"Linguistics and Language (Q1); Computer Science Applications (Q2); Education (Q2)";"Computer Science; Social Sciences"
922;19700177406;"Dynamic Games and Applications";journal;"21530785, 21530793";"Springer Nature";No;No;0,563;Q2;33;124;166;5111;328;159;1,56;41,22;20,15;0;United States;Northern America;"Springer Nature";"2011-2026";"Applied Mathematics (Q2); Computational Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Graphics and Computer-Aided Design (Q2); Computer Science Applications (Q2); Economics and Econometrics (Q2); Statistics and Probability (Q2)";"Computer Science; Economics, Econometrics and Finance; Mathematics"
923;12342;"International Journal of Control";journal;"00207179, 13665820";"Taylor and Francis Ltd.";No;No;0,563;Q2;135;298;736;10934;1595;732;2,20;36,69;28,07;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1965-2026";"Computer Science Applications (Q2); Control and Systems Engineering (Q2)";"Computer Science; Engineering"
924;19700174917;"International Journal of Telemedicine and Applications";journal;"16876415, 16876423";"John Wiley and Sons Ltd";Yes;No;0,563;Q2;39;19;50;821;143;50;2,55;43,21;51,06;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2008-2026";"Computer Networks and Communications (Q2); Medicine (miscellaneous) (Q2); Health Informatics (Q3); Health Information Management (Q3)";"Computer Science; Health Professions; Medicine"
